,0,1,2,3,4
11,[11],"['CHEM&161', 'DEVED100', 'CHEM&162', 'ENGR&114', 'PHYS&241', 'ENGR201', 'ENGR220', 'PHYS&242', 'ENGR240', 'ENGR&204', 'ENGR205', 'PHYS&243', 'ENGR&224', 'MATH&151']","[3, 3, 4, 4, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3]",['Mechanical Engineering'],['University of Washington Seattle']
12,[12],"['MATH261', 'PHYS&241', 'ENGR&214', 'MATH260', 'PHYS&242', 'ENGR&215', 'ENGR240', 'PHYS&243', 'ENGR&225', 'MATH246']","[1, 1, 1, 2, 2, 2, 3, 3, 3, 3]",['Mechanical Engineering'],['Washington State University']
13,[13],"['MATH&141', 'ENGR111', 'CHEM&140', 'MATH&142', 'CHEM&161', 'MATH&151', 'PHYS&114', 'MATH&152', 'CHEM&162', 'ENGR121', 'ENGL&230', 'MATH&163', 'PHYS&241', 'MATH&264', 'PHYS&242', 'ENGR&214', 'PHYS&243', 'ENGR&215', 'ENGR&224', 'MATH261', 'ENGR&225', 'MATH260', 'ENGR240']","[2, 2, 2, 3, 3, 4, 4, 1, 1, 1, 1, 2, 2, 3, 3, 3, 1, 1, 1, 2, 2, 3, 3]",['Aeronautics Engineering'],['University of Washington Seattle']
14,[14],"['MATH&142', 'CHEM&161', 'CHEM&162', 'CMST&220', 'ENGR121', 'MATH&151', 'PHYS&114', 'PHYS130', 'MATH&152', 'PHYS&241', 'MATH&163', 'PHYS&242', 'ENGL&230', 'ECON&202', 'PHYS&243', 'ENGR&214', 'MATH260', 'ENGR&215', 'MATH261', 'ENGR&225', 'ENGR220', 'ENGR&114', 'ENGR240', 'ENGR216', 'ENGR&204']","[2, 2, 3, 3, 4, 1, 1, 1, 2, 2, 3, 3, 4, 4, 1, 1, 2, 2, 3, 3, 3, 1, 2, 3, 3]",['Mechanical Engineering'],['Washington State University']
15,[15],"['CMST&102', 'PHOTO110', 'ART110', 'ART295', 'CMST&210']","[4, 4, 4, 3, 4]",['Graphic Design'],['Washington State University']
16,[16],"['MATH&151', 'ENGR&114', 'MATH&152', 'PHYS&241', 'ENGR121', 'MATH&163', 'ENGR&214', 'PHYS130', 'CHEM&161', 'CHEM&162', 'MATH&264', 'PHYS&242', 'ENGR&215', 'MATH261', 'PHYS&243', 'ENGR&225', 'ENGR220', 'MATH260', 'ENGR&224', 'ENGR240', 'ENGR&204', 'ENGR205', 'ENGR201', 'ENGR216']","[1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 1, 2]",['Mechanical Engineering'],['Washington State University']
17,[17],"['MATH&142', 'CHEM&140', 'ENGR111', 'MATH&151', 'CHEM&161', 'PHYS&114', 'MATH&152', 'CHEM&162', 'PHYS&241', 'ENGR121', 'ENGR&114', 'ENGL&230', 'MATH&163', 'PHYS&242', 'ENGR&214', 'ENGR&224', 'MATH&264', 'PHYS&243', 'ENGR&215', 'ENGR216', 'MATH260', 'ENGR&225', 'ENGR220', 'ENGR240', 'MATH261']","[1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 4, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4]",['Mechanical Engineering'],['Washington State University']
18,[18],"['ENGR&114', 'ENGR&204', 'MATH261', 'ENGR&224', 'ENGR240']","[2, 2, 3, 3, 3]",['Mechanical Engineering'],['Washington State University']
19,[19],"['MATH&152', 'PHYS&241', 'ENGR111', 'MATH&163', 'PHYS&241', 'ENGR121', 'PHYS130', 'ENGL&230', 'MATH&264', 'PHYS&242', 'ENGR&114', 'MATH260', 'PHYS&243', 'MATH261', 'ENGR&214', 'CHEM&140', 'CHEM&161', 'ECON&202', 'ENGR&225', 'ENGR201', 'CHEM&162', 'ENGR240', 'ENGR&204', 'ENGR&215', 'ENGR216', 'ENGR220', 'ENGR&224']","[2, 2, 2, 3, 3, 3, 3, 4, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 1, 1, 1, 2, 2, 2, 3, 3, 3]",['Mechanical Engineering'],['University of Washington Seattle']
20,[20],"['MATH&152', 'CHEM&140', 'ENGR121', 'ECON&202', 'MATH&163', 'CHEM&161', 'PHYS&241', 'MATH&264', 'ENGR&214', 'PHYS&242', 'PHYS130', 'MATH261', 'PHYS&243', 'ENGR&215', 'ENGR240', 'MATH260', 'ENGR&224', 'ENGR&225']","[2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3]",['General Major'],['University of Washington Seattle']
21,[21],"['MATH&142', 'ENGL&102D', 'CS110', 'MATH&151', 'CS&131', 'CHEM&161', 'MATH&152', 'PHYS&114', 'MATH&146', 'CS&132', 'CS132', 'PHYS&241', 'HIST&146', 'ECON&201', 'CS233']","[2, 2, 2, 3, 3, 3, 4, 4, 1, 1, 1, 1, 2, 2, 3]",['Computer Science'],['Washington State University']
22,[22],"['MATH&151', 'SPAN&122', 'HUM247D', 'CHEM&121', 'PSYC&100']","[3, 3, 3, 2, 2]",['General Major'],['Washington State University']
23,[23],"['MATH&142', 'CHEM&162', 'ENGL&101', 'MATH&151', 'PHYS&114', 'ENGR111', 'MATH&152', 'ENGL&230', 'MATH&163', 'PHYS&231', 'ENGR121', 'MATH260', 'PHYS&242', 'PHYS130', 'ENGR&214', 'MATH261', 'PHYS&243', 'ENGR&215', 'MATH&264', 'ENGR&225', 'ENGR&224', 'ENGR240']","[2, 2, 2, 3, 3, 3, 4, 4, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 1, 1, 2, 2]",['General Major'],['University of Washington Seattle']
24,[24],"['CS&141', 'ENGL&101', 'CS143', 'MATH&163', 'ECON&201', 'CHEM&161', 'ENGL&102', 'MATH&146', 'PHYS&114']","[2, 2, 3, 3, 1, 1, 2, 2, 3]",['Computer Science'],['Washington State University']
25,[25],"['MATH&152', 'CHEM&161', 'ENGR121', 'MATH&163', 'CHEM&162', 'PHYS&241', 'PHYS130', 'MATH&264', 'MATH261', 'CS&131', 'MATH260', 'PHYS&243', 'CS&132', 'CS132', 'ENGR&214', 'ENGR202', 'ENGR240', 'ENGR&204', 'ECON&202']","[2, 2, 2, 3, 3, 3, 3, 4, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4]",['Electrical Engineering'],['Washington State University']
26,[26],"['MATH&152', 'ENGL&102', 'ENGR111', 'MATH&163', 'CS&131', 'MATH&254', 'MATH&264', 'CS&132', 'CS132', 'MATH&148']","[2, 2, 2, 3, 4, 1, 2, 4, 4, 1]",['General Major'],['University of Washington Seattle']
27,[27],"['MATH&142', 'CS&131', 'ENGL&101', 'MATH&151', 'CS&132', 'CS132', 'ENGL&102', 'MATH&152', 'MATH&146']","[2, 2, 2, 3, 3, 3, 3, 4, 4]",['Computer Science'],['Washington State University']
28,[28],"['MATH&141', 'CHEM&140', 'ENGL&102', 'MATH&142', 'PHIL215', 'PSYC&100', 'MATH&151', 'BIOL&211', 'CHEM&161', 'CHEM&162', 'BIOL&222', 'BIOL&223', 'CHEM&163', 'BIOL&231', 'CHEM&261', 'BIOL&232', 'CHEM&262', 'CHEM&263', 'BIOL&260', 'ECON&201', 'CMST&210', 'CMST&220']","[2, 2, 2, 3, 3, 3, 4, 1, 1, 2, 2, 3, 3, 4, 1, 1, 2, 3, 3, 4, 4, 4]",['Pharmacy'],['Washington State University']
29,[29],"['MATH&152', 'ENGR121', 'CS&131', 'PHYS&241', 'MATH&163', 'MATH&264', 'ENGR202', 'MATH260', 'PHYS&242', 'MATH261', 'PHYS&243', 'ENGR&214', 'ENGR&204', 'ENGR205', 'ENGR240']","[2, 2, 3, 3, 3, 4, 1, 1, 1, 2, 2, 2, 3, 3, 3]",['Electrical Engineering'],['Washington State University']
30,[30],"['ENGR101', 'MATH&163', 'CS110', 'CS&131', 'PHYS&114', 'CS&132', 'CS132', 'ENGL&102', 'PHYS&241', 'BIOL&100', 'ECON&201', 'MATH&146', 'CS233', 'MATH260']","[1, 1, 1, 2, 2, 3, 3, 3, 3, 1, 1, 2, 3, 3]",['Computer Science'],['Washington State University']
31,[31],"['MATH&142', 'CHEM&161', 'FRCH&122', 'MATH&151', 'CHEM&162', 'PHYS&114', 'MATH&152', 'MATH&163', 'PHYS&241', 'ENGR111', 'MATH&264', 'ENGL&102', 'PHYS&242', 'PHYS130', 'PHYS&243', 'HIST&147', 'MATH261', 'ENGR&114', 'ENGR201', 'ENGR121', 'ENGR&214', 'ENGR&215', 'ENGR240', 'MATH260', 'ENGR&225', 'ENGR&204', 'PHIL110']","[2, 2, 2, 3, 3, 3, 4, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 1, 1, 1, 2, 2, 2, 3, 3, 3]",['Mechanical Engineering'],['University of Washington Seattle']
32,[32],"['MATH&151', 'ENGL&101', 'CS110', 'MATH&152', 'CS&131', 'PHYS&114', 'ECON&201', 'PHIL&120', 'CS&132', 'CS132', 'MATH&163', 'PHYS&241', 'MATH260', 'PHYS&242', 'CS233', 'HUM&101', 'ENGL&102', 'PHYS&243']","[2, 2, 2, 3, 3, 3, 4, 4, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3]",['Computer Science'],['Washington State University']
33,[33],"['MATH&141', 'ENGL&101', 'CHEM&140', 'PHYS130', 'MATH&142', 'ENGR111', 'CHEM&161', 'MATH&151', 'PHYS&114', 'ENGR121', 'MATH&152', 'PHYS&241', 'CS&131', 'MATH&163', 'PHYS&242', 'CS&132', 'CS132', 'MATH&264', 'PHYS&243', 'MATH260', 'MATH261', 'ENGR&204']","[2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4]",['Computer Engineering'],['University of Washington Bothell']
34,[34],"['MATH&142', 'HIST&146', 'MATH085', 'ENGR111', 'CHEM&140', 'MATH&151', 'ENGR121', 'CHEM&161', 'MATH&152', 'ECON&202', 'CHEM&162', 'MATH&163', 'PHYS&114', 'PHYS&115']","[4, 4, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 1]",['General Major'],['Washington State University']
35,[35],"['MATH&141', 'ENGR111', 'CHEM&140', 'ENGL&230']","[2, 2, 2, 2]",['Electrical Engineering'],['University of Washington Bothell']
36,[36],"['MATH&141', 'CS110', 'ENGL&102', 'MATH&142', 'CS&131', 'PHOTO110', 'MATH&151', 'CS&132', 'CS132', 'ART110', 'MATH&152', 'HUM&101', 'PHYS&114', 'MATH&146', 'CS233', 'ECON&201']","[2, 2, 2, 3, 3, 3, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3]",['Computer Science and Software Engineering'],['Washington State University']
37,[37],"['MATH&163', 'ENGL&102', 'CS143', 'MATH260', 'PHYS&241', 'HUM&101']","[2, 2, 3, 3, 1, 1]",['Computer Science'],['Washington State University']
38,[38],"['MATH&151', 'CHEM&140', 'ENGR111', 'MATH&152', 'CHEM&161', 'ENGR121', 'MATH&163', 'PHYS&114', 'CS&131', 'MATH260', 'PHYS&231', 'CS&132', 'CS132', 'MATH261', 'PHYS&242', 'PHYS130', 'MATH&264', 'PHYS&243', 'ENGR202', 'ENGR&204', 'ENGR240', 'ENGR205', 'ENGR&214']","[2, 2, 2, 3, 3, 3, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 2, 2, 3, 3]",['Electrical Engineering'],['Washington State University']
39,[39],"['IT111', 'IT161', 'ENGR101', 'IT162', 'IT108', 'IT228', 'IT117', 'IT224', 'CJ203', 'IT251', 'CS110', 'IT122', 'PHIL&115', 'CS&131', 'IT210']","[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 1, 1, 1, 2, 2]",['General Major'],['Washington State University']
40,[40],"['MATH&152', 'PHYS130', 'ENGR111', 'ENGL&230', 'MATH&163', 'PHYS&241', 'ENGR121', 'MATH260', 'ENGR&214', 'PHYS&242', 'MATH261', 'ENGR&215', 'PHYS&243', 'ENGR&225', 'CHEM&161', 'CHEM&162']","[2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 2, 2, 2, 3, 3, 1]",['Mechanical Engineering'],['Washington State University']
41,[41],"['MATH&142', 'CHEM&140', 'ENGR&114', 'MATH&151', 'CHEM&161', 'ENGR121', 'ECON&202', 'MATH&152', 'PHYS&114', 'ENGL233', 'MATH&163', 'ENGR&214', 'PHYS&241', 'CHEM&162', 'PHYS&242', 'ENGR&215', 'MATH&264', 'MATH260', 'PHYS&243', 'ENGR&225', 'ENGR240', 'MATH261']","[2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4]",['Mechanical Engineering'],['Washington State University']
42,[42],"['ENGL&101', 'ECON&202', 'MATH&141', 'CHEM&140', 'ENGR111', 'MATH&142', 'PHYS&114', 'CS&131', 'MATH&151', 'CHEM&161', 'ENGR121', 'MATH&152', 'ENGR202', 'PHYS130', 'MATH&163', 'PHYS&241', 'CS&132', 'CS132', 'MATH&264', 'MATH261', 'PHYS&242', 'ENGR&214', 'MATH260', 'PHYS&243', 'ENGR216', 'ENGR&204', 'ENGR205', 'ENGR240']","[2, 2, 3, 3, 3, 4, 4, 4, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 1, 1, 1, 2, 2, 2, 3, 3, 3]",['Electrical Engineering'],['Washington State University']
43,[43],"['MATH092', 'CHEM&140', 'MATH&141', 'ENGR111', 'CHEM&161', 'MATH&142', 'CHEM&162', 'PHYS&114', 'MATH&151', 'MATH&152', 'ENGR121', 'PHYS&241', 'PHYS130', 'MATH&163', 'PHYS&242', 'MATH&264', 'PHYS&243', 'ENGR&214', 'MATH260', 'ENGR&215', 'ENGR&114', 'ENGR&225', 'ENGR&204']","[1, 1, 2, 2, 2, 3, 3, 3, 4, 1, 1, 1, 1, 2, 2, 3, 3, 3, 1, 1, 1, 2, 3]",['Mechanical Engineering'],['University of Washington Seattle']
44,[44],"['MATH092', 'ENGR298', 'MATH&141', 'ENGR298', 'MATH&142', 'MATH&151', 'PHYS&114', 'ENGL&230', 'MATH&152', 'PHYS&242', 'MATH&163', 'PHYS130', 'CHEM&140', 'MATH&264', 'PHYS&243', 'MATH260', 'ENGR&214', 'MATH261', 'ENGR&215', 'ENGR&225', 'CHEM&161', 'CHEM&162']","[2, 2, 3, 3, 4, 1, 1, 1, 2, 2, 3, 3, 4, 1, 1, 2, 2, 3, 3, 1, 2, 3]",['Mechanical Engineering'],['Washington State University']
45,[45],"['MATH099', 'ENGR101', 'ENGL&101', 'MATH&141', 'ENGL&230', 'MATH&142']","[1, 1, 1, 2, 2, 3]",['Mechanical Engineering'],['Eastern Washington University']
46,[46],"['MATH080', 'ENGR101', 'ENGL&230', 'MATH091', 'MATH092', 'MATH&141', 'MATH&142']","[1, 1, 1, 2, 3, 4, 1]",['Mechanical Engineering'],['Washington State University']
47,[47],"['MATH099', 'ENGL&101', 'MATH&141', 'CHEM&140', 'ENGR111', 'MATH&142', 'CHEM&161', 'PHYS&114', 'MATH&151', 'ENGR121', 'CHEM&161', 'MATH&152', 'ECON&202', 'MATH&163', 'PHYS&241', 'MATH&264', 'PHYS&242', 'ENGR&214', 'PHYS130', 'MATH260', 'PHYS&243', 'ENGR&215', 'MATH261']","[2, 2, 3, 3, 3, 1, 1, 1, 2, 2, 2, 3, 3, 1, 1, 2, 2, 2, 2, 3, 3, 3, 1]",['Mechanical Engineering'],['Washington State University']
48,[48],"['ENGL&101', 'MATH&141', 'CHEM&161', 'PHYS130', 'MATH&142', 'ENGR111', 'CHEM&162', 'MATH&151', 'PHYS&114', 'MATH&152', 'PHYS&241', 'ENGR121', 'MATH&163', 'PHYS&242', 'ECON&202', 'MATH&264', 'PHYS&243', 'ENGR&214', 'MATH261', 'ENGR&114', 'MATH260', 'ENGR&215', 'ENGR201', 'ENGR&225', 'ENGR240', 'ENGR&224', 'ENGR216', 'ENGR&204']","[2, 2, 2, 2, 3, 3, 3, 4, 4, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 1, 1, 1, 2, 2, 3, 3, 3]",['Mechanical Engineering'],['Washington State University']
52,[52],"['MATH&142', 'CS110', 'MATH&151', 'CS&131', 'MATH&152', 'MATH&146', 'CS&132', 'CS132', 'PHYS&241', 'CS233']","[2, 2, 3, 3, 4, 1, 1, 1, 1, 3]",['Computer Science'],['Washington State University']
56,[56],['ENGL&101'],[2],['Mechanical Engineering'],['Washington State University']
60,[60],"['MATH&142', 'CS110', 'MATH&151', 'CS&131', 'MATH&152', 'MATH&146', 'CS&132', 'CS132', 'PHYS&241', 'CS233']","[2, 2, 3, 3, 4, 1, 1, 1, 1, 3]",['Computer Science'],['Washington State University']
64,[64],['ENGL&101'],[2],['Mechanical Engineering'],['Washington State University']
68,[68],"['MATH&142', 'CS110', 'MATH&151', 'CS&131', 'MATH&152', 'MATH&146', 'CS&132', 'CS132', 'PHYS&241', 'CS233']","[2, 2, 3, 3, 4, 1, 1, 1, 1, 3]",['Computer Science'],['Washington State University']
72,[72],['ENGL&101'],[2],['Mechanical Engineering'],['Washington State University']
76,[76],"['MATH&142', 'CS110', 'MATH&151', 'CS&131', 'MATH&152', 'MATH&146', 'CS&132', 'CS132', 'PHYS&241', 'CS233']","[2, 2, 3, 3, 4, 1, 1, 1, 1, 3]",['Computer Science'],['Washington State University']
80,[80],['ENGL&101'],[2],['Mechanical Engineering'],['Washington State University']
84,[84],"['MATH&142', 'CS110', 'MATH&151', 'CS&131', 'MATH&152', 'MATH&146', 'CS&132', 'CS132', 'PHYS&241', 'CS233']","[2, 2, 3, 3, 4, 1, 1, 1, 1, 3]",['Computer Science'],['Washington State University']
86,[86],['ENGL&101'],[2],['General Major'],['University of Washington Seattle']
90,[90],"['ENGL&230', 'MATH261', 'ENGR&215', 'HUM&101', 'PHYS&242', 'ENGR&225', 'PHYS130', 'PHYS&243', 'ENGR&224', 'ENGR220']","[4, 1, 1, 1, 2, 2, 2, 3, 3, 3]",['Mechanical Engineering'],['Washington State University']
94,[94],"['ENGR121', 'ENGR201', 'ENGR&224', 'ENGR&114', 'ENGR240', 'ENGR&215', 'ENGR&225', 'ENGR216', 'ENGR220', 'ENGR&204', 'ENGR240']","[4, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4]",['Mechanical Engineering'],['Washington State University']
95,[95],"['MATH&151', 'CHEM&161', 'ENGR121', 'MATH&152', 'CHEM&162', 'ENGL&230', 'MATH&163', 'PHYS&241', 'ENGR&214', 'ENGR&114', 'MATH&264', 'PHYS&242', 'PHYS130', 'ENGR&215', 'ENGR240', 'MATH260', 'PHYS&243', 'ENGR&225', 'ENGR220', 'MATH261']","[3, 3, 3, 4, 4, 4, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4]",['Mechanical Engineering'],['Washington State University']
99,[99],"['MATH260', 'ENGR121', 'ENGR201', 'ENGR&215', 'ENGR240', 'ENGR&204', 'ENGR&225', 'ENGR&224', 'ENGR216', 'ENGR220']","[1, 1, 1, 2, 2, 2, 3, 3, 3, 1]",['Mechanical Engineering'],['Washington State University']
100,[100],"['MATH261', 'ENGR&204', 'ENGR205', 'ENGR&215', 'ENGR&224', 'ENGR201', 'ENGR240', 'ENGR&114', 'ENGR220', 'ECON&202', 'ENGR&225', 'ENGR216']","[4, 4, 4, 1, 1, 1, 2, 2, 2, 2, 3, 3]",['Mechanical Engineering'],['Washington State University']
104,[104],"['ENGL&102D', 'MATH&141', 'CHEM&121', 'MATH&146', 'BIOL&211', 'CHEM&131', 'PSYC&100', 'BIOL&231', 'CMST&210', 'BIOL&232', 'PSYC&200', 'CMST&220', 'BIOL&260', 'SOC&101', 'HUM&101']","[3, 3, 3, 1, 1, 1, 2, 2, 2, 3, 3, 3, 1, 1, 1]",['Nursing'],['Washington State University']
105,[105],"['ENGL&102D', 'PSYC&100', 'CHEM&121', 'CMST&210', 'PSYC&200', 'BIOL&211', 'BIOL&231', 'BIOL&232', 'MATH&146', 'BIOL&260']","[3, 3, 3, 1, 1, 1, 2, 3, 4, 1]",['General Major'],['Washington State University']
109,[109],"['MATH&264', 'ENGR101', 'CHEM&262', 'PHYS&114', 'BIOL&222', 'PHYS&241', 'MATH&163', 'ENGR111', 'MATH&264', 'ENGR121', 'PHYS&242', 'ENGR&214', 'PHYS&243']","[3, 3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 3, 3]",['Chemical Engineering'],['University of Washington Seattle']
113,[113],"['MATH&151', 'SPAN&122', 'CHEM&121', 'PSYC&100']","[3, 3, 2, 2]",['General Major'],['Washington State University']
117,[117],"['MATH&141', 'CHEM&140', 'ENGL&102', 'MATH&142', 'PHIL215', 'PSYC&100', 'MATH&151', 'BIOL&221', 'CHEM&161', 'CHEM&162', 'BIOL&222', 'BIOL&223', 'CHEM&163', 'BIOL&231', 'CHEM&261', 'BIOL&232', 'CHEM&262', 'CHEM&263', 'BIOL&260', 'ECON&201', 'CMST&210']","[2, 2, 2, 3, 3, 3, 4, 1, 1, 2, 2, 3, 3, 4, 1, 1, 2, 3, 3, 4, 4]",['Pharmacy'],['Washington State University']
121,[121],"['CHEM&161', 'DEVED100', 'CHEM&162', 'ENGR&114', 'PHYS&241', 'ENGR201', 'PHYS&242', 'ENGR240', 'ENGR&204', 'PHYS&243', 'MATH&151']","[3, 3, 4, 4, 1, 1, 2, 2, 2, 3, 3]",['Mechanical Engineering'],['University of Washington Seattle']
125,[125],"['MATH261', 'PHYS&241', 'ENGR&214', 'MATH260', 'PHYS&242', 'ENGR&215', 'ENGR240', 'PHYS&243', 'ENGR&225', 'MATH246']","[1, 1, 1, 2, 2, 2, 3, 3, 3, 3]",['Mechanical Engineering'],['Washington State University']
129,[129],"['MATH&141', 'ENGR111', 'CHEM&140', 'MATH&142', 'CHEM&161', 'MATH&151', 'PHYS&114', 'MATH&152', 'CHEM&162', 'ENGR121', 'MATH&163', 'PHYS&241', 'MATH&264', 'PHYS&242', 'ENGR&214', 'PHYS&243', 'ENGR&215', 'ENGR&224', 'MATH261', 'ENGR&225', 'MATH260', 'ENGR240']","[2, 2, 2, 3, 3, 4, 4, 1, 1, 1, 2, 2, 3, 3, 3, 1, 1, 1, 2, 2, 3, 3]",['Aeronautics Engineering'],['University of Washington Seattle']
133,[133],"['MATH&142', 'CHEM&161', 'CHEM&162', 'CMST&220', 'MATH&151', 'PHYS130', 'MATH&152', 'PHYS&241', 'MATH&163', 'PHYS&242', 'ENGL&230', 'ECON&202', 'PHYS&243', 'ENGR&214', 'MATH260', 'ENGR&215', 'MATH261', 'ENGR&225', 'ENGR220', 'ENGR&114', 'ENGR240', 'ENGR216', 'ENGR&204']","[2, 2, 3, 3, 1, 1, 2, 2, 3, 3, 4, 4, 1, 1, 2, 2, 3, 3, 3, 1, 2, 3, 3]",['Mechanical Engineering'],['Washington State University']
137,[137],"['CMST&102', 'PHOTO110', 'ART110', 'ART295', 'CMST&210']","[4, 4, 4, 3, 4]",['Graphic Design'],['Washington State University']
141,[141],"['MATH&151', 'ENGR&114', 'MATH&152', 'PHYS&241', 'ENGR121', 'MATH&163', 'ENGR&214', 'PHYS130', 'CHEM&161', 'CHEM&162', 'MATH&264', 'PHYS&242', 'ENGR&215', 'MATH261', 'PHYS&243', 'ENGR&225', 'ENGR220', 'MATH260', 'ENGR&224', 'ENGR240', 'ENGR&204', 'ENGR205', 'ENGR201', 'ENGR216']","[1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 1, 2]",['Mechanical Engineering'],['Washington State University']
145,[145],"['MATH&142', 'CHEM&140', 'ENGR111', 'MATH&151', 'CHEM&161', 'PHYS&114', 'MATH&152', 'CHEM&162', 'PHYS&241', 'ENGR121', 'ENGR&114', 'ENGL&230', 'MATH&163', 'PHYS&242', 'ENGR&214', 'ENGR&224', 'MATH&264', 'PHYS&243', 'ENGR&215', 'ENGR216', 'MATH260', 'ENGR&225', 'ENGR220', 'ENGR240', 'MATH261']","[1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 4, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4]",['Mechanical Engineering'],['Washington State University']
146,[146],"['ENGR&114', 'ENGR&204', 'MATH261', 'ENGR&224', 'ENGR240']","[2, 2, 3, 3, 3]",['Mechanical Engineering'],['Washington State University']
