,0,1,2,3,4
34,[34],['MATH& 163 '],[4],['General Major'],['Washington State University']
35,[35],['ENGL& 230 '],[2],['Electrical Engineering'],['University of Washington Bothell']
36,[36],"['ENGL& 102 ', 'MATH& 146 ']","[2, 3]",['Computer Science and Software Engineering'],['Washington State University']
37,[37],"['MATH& 163 ', 'ENGL& 102 ', 'MATH 260  ']","[2, 2, 3]",['Computer Science'],['Washington State University']
38,[38],"['MATH& 163 ', 'MATH 260  ', 'MATH 261  ', 'MATH& 264 ']","[1, 2, 3, 1]",['Electrical Engineering'],['Washington State University']
40,[40],"['ENGL& 230 ', 'MATH& 163 ', 'MATH 260  ', 'MATH 261  ']","[2, 3, 1, 2]",['Mechanical Engineering'],['Washington State University']
41,[41],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
42,[42],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[2, 3, 4, 1, 2]",['Electrical Engineering'],['Washington State University']
43,[43],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ']","[2, 3, 1]",['Mechanical Engineering'],['University of Washington Seattle']
44,[44],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[1, 3, 1, 2, 3]",['Mechanical Engineering'],['Washington State University']
45,[45],"['ENGL& 101 ', 'ENGL& 230 ']","[1, 2]",['Mechanical Engineering'],['Eastern Washington University']
46,[46],['ENGL& 230 '],[1],['Mechanical Engineering'],['Washington State University']
47,[47],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[2, 1, 2, 3, 1]",['Mechanical Engineering'],['Washington State University']
48,[48],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[2, 2, 3, 4, 1]",['Mechanical Engineering'],['Washington State University']
52,[52],['MATH& 146 '],[1],['Computer Science'],['Washington State University']
56,[56],['ENGL& 101 '],[2],['Mechanical Engineering'],['Washington State University']
60,[60],['MATH& 146 '],[1],['Computer Science'],['Washington State University']
64,[64],['ENGL& 101 '],[2],['Mechanical Engineering'],['Washington State University']
68,[68],['MATH& 146 '],[1],['Computer Science'],['Washington State University']
72,[72],['ENGL& 101 '],[2],['Mechanical Engineering'],['Washington State University']
76,[76],['MATH& 146 '],[1],['Computer Science'],['Washington State University']
80,[80],['ENGL& 101 '],[2],['Mechanical Engineering'],['Washington State University']
84,[84],['MATH& 146 '],[1],['Computer Science'],['Washington State University']
86,[86],['ENGL& 101 '],[2],['General Major'],['University of Washington Seattle']
90,[90],"['ENGL& 230 ', 'MATH 261  ']","[4, 1]",['Mechanical Engineering'],['Washington State University']
95,[95],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[4, 1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
99,[99],['MATH 260  '],[1],['Mechanical Engineering'],['Washington State University']
100,[100],['MATH 261  '],[4],['Mechanical Engineering'],['Washington State University']
104,[104],['MATH& 146 '],[1],['Nursing'],['Washington State University']
105,[105],['MATH& 146 '],[4],['General Major'],['Washington State University']
109,[109],"['MATH& 264 ', 'MATH& 163 ', 'MATH& 264 ']","[3, 1, 2]",['Chemical Engineering'],['University of Washington Seattle']
117,[117],['ENGL& 102 '],[2],['Pharmacy'],['Washington State University']
125,[125],"['MATH 261  ', 'MATH 260  ']","[1, 2]",['Mechanical Engineering'],['Washington State University']
129,[129],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[2, 3, 2, 3]",['Aeronautics Engineering'],['University of Washington Seattle']
133,[133],"['MATH& 163 ', 'ENGL& 230 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 2, 3]",['Mechanical Engineering'],['Washington State University']
141,[141],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[3, 1, 2, 3]",['Mechanical Engineering'],['Washington State University']
145,[145],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[4, 1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
146,[146],['MATH 261  '],[3],['Mechanical Engineering'],['Washington State University']
150,[150],"['MATH& 163 ', 'ENGL& 230 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 1, 2, 3]",['Mechanical Engineering'],['University of Washington Seattle']
154,[154],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ']","[3, 1, 3]",['General Major'],['University of Washington Seattle']
158,[158],['MATH& 146 '],[1],['Computer Science'],['Washington State University']
160,[160],['ENGL& 101 '],[2],['General Major'],['University of Washington Seattle']
164,[164],"['ENGL& 230 ', 'MATH 261  ']","[4, 1]",['Mechanical Engineering'],['Washington State University']
169,[169],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[4, 1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
173,[173],['MATH 260  '],[1],['Mechanical Engineering'],['Washington State University']
174,[174],['MATH 261  '],[4],['Mechanical Engineering'],['Washington State University']
178,[178],['MATH& 146 '],[1],['Nursing'],['Washington State University']
179,[179],['MATH& 146 '],[4],['General Major'],['Washington State University']
183,[183],"['MATH& 264 ', 'MATH& 163 ', 'MATH& 264 ']","[3, 1, 2]",['Chemical Engineering'],['University of Washington Seattle']
191,[191],['ENGL& 102 '],[2],['Pharmacy'],['Washington State University']
199,[199],"['MATH 261  ', 'MATH 260  ']","[1, 2]",['Mechanical Engineering'],['Washington State University']
203,[203],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[2, 3, 2, 3]",['Aeronautics Engineering'],['University of Washington Seattle']
207,[207],"['MATH& 163 ', 'ENGL& 230 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 2, 3]",['Mechanical Engineering'],['Washington State University']
215,[215],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[3, 1, 2, 3]",['Mechanical Engineering'],['Washington State University']
219,[219],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[4, 1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
220,[220],['MATH 261  '],[3],['Mechanical Engineering'],['Washington State University']
224,[224],"['MATH& 163 ', 'ENGL& 230 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 1, 2, 3]",['Mechanical Engineering'],['University of Washington Seattle']
228,[228],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ']","[3, 1, 3]",['General Major'],['University of Washington Seattle']
232,[232],['MATH& 146 '],[1],['Computer Science'],['Washington State University']
234,[234],['ENGL& 101 '],[2],['General Major'],['University of Washington Seattle']
238,[238],"['ENGL& 230 ', 'MATH 261  ']","[4, 1]",['Mechanical Engineering'],['Washington State University']
243,[243],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[4, 1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
247,[247],['MATH 260  '],[1],['Mechanical Engineering'],['Washington State University']
248,[248],['MATH 261  '],[4],['Mechanical Engineering'],['Washington State University']
252,[252],['MATH& 146 '],[1],['Nursing'],['Washington State University']
253,[253],['MATH& 146 '],[4],['General Major'],['Washington State University']
257,[257],"['MATH& 264 ', 'MATH& 163 ', 'MATH& 264 ']","[3, 1, 2]",['Chemical Engineering'],['University of Washington Seattle']
265,[265],['ENGL& 102 '],[2],['Pharmacy'],['Washington State University']
273,[273],"['MATH 261  ', 'MATH 260  ']","[1, 2]",['Mechanical Engineering'],['Washington State University']
277,[277],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[2, 3, 2, 3]",['Aeronautics Engineering'],['University of Washington Seattle']
281,[281],"['MATH& 163 ', 'ENGL& 230 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 2, 3]",['Mechanical Engineering'],['Washington State University']
289,[289],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[3, 1, 2, 3]",['Mechanical Engineering'],['Washington State University']
293,[293],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[4, 1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
294,[294],['MATH 261  '],[3],['Mechanical Engineering'],['Washington State University']
298,[298],"['MATH& 163 ', 'ENGL& 230 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 1, 2, 3]",['Mechanical Engineering'],['University of Washington Seattle']
302,[302],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ']","[3, 1, 3]",['General Major'],['University of Washington Seattle']
306,[306],['MATH& 146 '],[1],['Computer Science'],['Washington State University']
308,[308],['ENGL& 101 '],[2],['General Major'],['University of Washington Seattle']
309,[309],['ENGL& 101 '],[2],['General Major'],['University of Washington Seattle']
314,[314],['ENGL& 101 '],[2],['General Major'],['University of Washington Seattle']
315,[315],['ENGL& 101 '],[2],['General Major'],['University of Washington Seattle']
323,[323],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[3, 4, 1, 2]",['Electrical Engineering'],['Washington State University']
335,[335],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 1, 2]",['Electrical Engineering'],['Washington State University']
339,[339],"['MATH& 163 ', 'MATH& 146 ', 'MATH 260  ']","[1, 2, 3]",['Computer Science'],['Washington State University']
343,[343],"['MATH& 163 ', 'MATH& 264 ', 'ENGL& 102 ', 'MATH 261  ', 'MATH 260  ']","[1, 2, 2, 4, 2]",['Mechanical Engineering'],['University of Washington Seattle']
347,[347],"['ENGL& 101 ', 'MATH& 163 ', 'MATH 260  ']","[2, 1, 2]",['Computer Science'],['Washington State University']
351,[351],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ', 'MATH& 163 ']","[2, 2, 3, 3, 4, 4]",['Computer Engineering'],['University of Washington Bothell']
356,[356],['MATH& 146 '],[3],['Computer Science and Software Engineering'],['Washington State University']
360,[360],"['MATH& 163 ', 'ENGL& 102 ', 'MATH 260  ']","[2, 2, 3]",['Computer Science'],['Washington State University']
365,[365],"['ENGL& 230 ', 'MATH& 163 ', 'MATH 260  ', 'MATH 261  ']","[2, 3, 1, 2]",['Mechanical Engineering'],['Washington State University']
369,[369],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
373,[373],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[2, 3, 4, 1, 2]",['Electrical Engineering'],['Washington State University']
377,[377],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[2, 3, 1, 2]",['Mechanical Engineering'],['University of Washington Seattle']
378,[378],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[3, 1, 2, 3]",['Mechanical Engineering'],['Washington State University']
384,[384],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[2, 1, 2, 3, 1]",['Mechanical Engineering'],['Washington State University']
388,[388],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[2, 2, 3, 4, 1]",['Mechanical Engineering'],['Washington State University']
389,[389],['ENGL& 101 '],[2],['General Major'],['University of Washington Seattle']
393,[393],"['ENGL& 230 ', 'MATH 261  ']","[4, 1]",['Mechanical Engineering'],['Washington State University']
398,[398],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[4, 1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
402,[402],['MATH 260  '],[1],['Mechanical Engineering'],['Washington State University']
403,[403],['MATH 261  '],[4],['Mechanical Engineering'],['Washington State University']
407,[407],['MATH& 146 '],[1],['Nursing'],['Washington State University']
408,[408],['MATH& 146 '],[4],['General Major'],['Washington State University']
412,[412],"['MATH& 264 ', 'MATH& 163 ', 'MATH& 264 ']","[3, 1, 2]",['Chemical Engineering'],['University of Washington Seattle']
420,[420],['ENGL& 102 '],[2],['Pharmacy'],['Washington State University']
428,[428],"['MATH 261  ', 'MATH 260  ']","[1, 2]",['Mechanical Engineering'],['Washington State University']
432,[432],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[2, 3, 2, 3]",['Aeronautics Engineering'],['University of Washington Seattle']
436,[436],"['MATH& 163 ', 'ENGL& 230 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 2, 3]",['Mechanical Engineering'],['Washington State University']
444,[444],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[3, 1, 2, 3]",['Mechanical Engineering'],['Washington State University']
448,[448],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[4, 1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
449,[449],['MATH 261  '],[3],['Mechanical Engineering'],['Washington State University']
453,[453],"['MATH& 163 ', 'ENGL& 230 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 1, 2, 3]",['Mechanical Engineering'],['University of Washington Seattle']
457,[457],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ']","[3, 1, 3]",['General Major'],['University of Washington Seattle']
461,[461],['MATH& 146 '],[1],['Computer Science'],['Washington State University']
463,[463],['ENGL& 101 '],[2],['General Major'],['University of Washington Seattle']
471,[471],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[3, 4, 1, 2]",['Electrical Engineering'],['Washington State University']
483,[483],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 1, 2]",['Electrical Engineering'],['Washington State University']
487,[487],"['MATH& 163 ', 'MATH& 146 ', 'MATH 260  ']","[1, 2, 3]",['Computer Science'],['Washington State University']
491,[491],"['MATH& 163 ', 'MATH& 264 ', 'ENGL& 102 ', 'MATH 261  ', 'MATH 260  ']","[1, 2, 2, 4, 2]",['Mechanical Engineering'],['University of Washington Seattle']
495,[495],"['ENGL& 101 ', 'MATH& 163 ', 'MATH 260  ']","[2, 1, 2]",['Computer Science'],['Washington State University']
499,[499],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ', 'MATH& 163 ']","[2, 2, 3, 3, 4, 4]",['Computer Engineering'],['University of Washington Bothell']
504,[504],['MATH& 146 '],[3],['Computer Science and Software Engineering'],['Washington State University']
508,[508],"['MATH& 163 ', 'ENGL& 102 ', 'MATH 260  ']","[2, 2, 3]",['Computer Science'],['Washington State University']
513,[513],"['ENGL& 230 ', 'MATH& 163 ', 'MATH 260  ', 'MATH 261  ']","[2, 3, 1, 2]",['Mechanical Engineering'],['Washington State University']
517,[517],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
521,[521],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[2, 3, 4, 1, 2]",['Electrical Engineering'],['Washington State University']
525,[525],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[2, 3, 1, 2]",['Mechanical Engineering'],['University of Washington Seattle']
526,[526],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[3, 1, 2, 3]",['Mechanical Engineering'],['Washington State University']
532,[532],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[2, 1, 2, 3, 1]",['Mechanical Engineering'],['Washington State University']
536,[536],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[2, 2, 3, 4, 1]",['Mechanical Engineering'],['Washington State University']
