,ActualNumberQuarters,ActualNumberofCore,ActualStartQuarter,EnrollmentType,JobType,PreferedMajor,PreferedNumberQuarters,PreferedNumberofCore,PreferedSchool,PreferedStartQuarter,englishSequenceBreak,mathSequenceBreak,Rating,ActualSummerPref_no,ActualSummerPref_yes,SummerPref_no,SummerPref_yes
41,4,4.0,1,0,0,9,6,3.5,7,1,100.0,35.0,3,0,1,0,1
42,4,4.0,1,0,1,12,6,3.5,4,1,65.1,0.0,3,1,0,1,0
43,4,4.0,1,1,0,12,6,3.5,7,3,72.0,0.0,2,0,1,0,1
44,3,3.0,1,1,0,12,6,3.5,1,1,100.0,0.0,2,0,1,0,1
45,4,4.0,1,1,0,12,6,3.5,7,7,100.0,0.0,3,1,0,1,0
46,3,3.0,1,0,1,12,6,3.5,7,5,100.0,0.0,2,1,0,1,0
47,4,4.0,1,1,1,12,6,3.5,7,7,100.0,68.0,4,0,1,0,1
48,4,4.0,1,0,0,6,6,3.5,7,1,65.1,0.0,1,0,1,0,1
49,1,1.0,6,0,1,12,6,3.5,7,3,100.0,49.8,3,1,0,1,0
50,4,4.0,1,0,0,6,6,3.5,7,1,65.1,0.0,1,0,1,0,1
51,1,1.0,6,0,1,12,6,3.5,7,3,100.0,49.8,3,1,0,1,0
52,4,4.0,1,0,0,6,6,3.5,7,1,65.1,0.0,1,0,1,0,1
53,1,1.0,6,0,1,12,6,3.5,7,3,100.0,49.8,3,1,0,1,0
54,4,4.0,1,0,0,6,6,3.5,7,1,65.1,0.0,1,0,1,0,1
55,1,1.0,6,0,1,12,6,3.5,7,3,100.0,49.8,3,1,0,1,0
56,4,4.0,1,0,0,6,6,3.5,7,1,65.1,0.0,3,0,1,0,1
57,1,1.0,6,0,2,10,6,3.5,4,7,100.0,49.8,3,0,1,0,1
58,4,2.0,1,0,2,12,6,3.5,7,1,100.0,71.0,4,0,1,0,1
59,4,3.5,1,1,1,12,6,3.5,7,7,65.1,49.8,3,1,0,1,0
60,4,4.0,1,0,2,12,6,3.5,7,3,72.0,68.0,3,0,1,0,1
61,3,1.0,1,0,0,12,6,3.5,7,1,65.1,100.0,4,1,0,1,0
62,4,1.0,1,0,1,12,6,3.5,7,5,65.1,100.0,4,0,1,0,1
63,3,2.0,1,0,2,13,6,3.5,7,7,100.0,0.0,2,1,0,1,0
64,4,2.0,1,0,0,10,6,3.5,7,3,100.0,72.0,4,1,0,1,0
65,3,3.0,1,0,1,3,6,3.5,4,1,65.1,36.0,3,0,1,0,1
66,2,1.0,6,1,2,10,6,3.5,7,5,65.1,100.0,4,0,1,0,1
67,4,3.0,1,0,0,14,6,3.5,7,7,100.0,100.0,3,1,0,1,0
68,4,1.0,1,1,1,12,6,3.5,4,1,65.1,100.0,4,0,1,0,1
69,3,3.0,1,1,2,12,6,3.5,7,7,65.1,50.0,3,1,0,1,0
70,4,4.0,1,0,0,1,6,3.5,4,1,65.1,78.0,3,1,0,1,0
71,4,4.0,1,0,1,12,6,3.5,7,3,72.0,66.0,3,0,1,0,1
72,2,3.5,3,1,1,11,6,3.5,7,1,65.1,49.8,3,0,1,0,1
73,4,3.0,1,1,0,12,6,3.5,7,5,65.1,66.0,2,0,1,0,1
74,4,4.0,1,0,2,12,6,3.5,7,1,72.0,57.0,3,1,0,1,0
75,2,1.0,6,1,1,12,6,3.5,7,7,65.1,71.0,3,0,1,0,1
76,4,4.0,1,0,0,12,6,3.5,4,3,72.0,59.0,3,1,0,1,0
77,3,3.0,1,0,0,10,6,3.5,4,5,65.1,71.0,3,1,0,1,0
78,4,4.0,1,0,0,6,6,3.5,7,1,65.1,0.0,3,0,1,0,1
79,1,1.0,6,0,2,10,6,3.5,4,7,100.0,49.8,3,0,1,0,1
80,4,2.0,1,0,2,12,6,3.5,7,1,100.0,71.0,4,0,1,0,1
81,4,3.5,1,1,1,12,6,3.5,7,7,65.1,49.8,2,1,0,1,0
82,4,4.0,1,0,2,12,6,3.5,7,3,72.0,68.0,3,0,1,0,1
83,3,1.0,1,0,0,12,6,3.5,7,1,65.1,100.0,3,1,0,1,0
84,4,1.0,1,0,1,12,6,3.5,7,5,65.1,100.0,4,0,1,0,1
85,3,2.0,1,0,2,13,6,3.5,7,7,100.0,0.0,2,1,0,1,0
86,4,2.0,1,0,0,10,6,3.5,7,3,100.0,72.0,3,1,0,1,0
87,3,3.0,1,0,1,3,6,3.5,4,1,65.1,36.0,1,0,1,0,1
88,2,1.0,6,1,2,10,6,3.5,7,5,65.1,100.0,4,0,1,0,1
89,4,3.0,1,0,0,14,6,3.5,7,7,100.0,100.0,5,1,0,1,0
90,4,1.0,1,1,1,12,6,3.5,4,1,65.1,100.0,4,0,1,0,1
91,3,3.0,1,1,2,12,6,3.5,7,7,65.1,50.0,3,1,0,1,0
92,4,4.0,1,0,0,1,6,3.5,4,1,65.1,78.0,3,1,0,1,0
93,4,4.0,1,0,1,12,6,3.5,7,3,72.0,66.0,3,0,1,0,1
94,2,3.5,3,1,1,11,6,3.5,7,1,65.1,49.8,2,0,1,0,1
95,4,3.0,1,1,0,12,6,3.5,7,5,65.1,66.0,2,0,1,0,1
96,4,4.0,1,0,2,12,6,3.5,7,1,72.0,57.0,3,1,0,1,0
97,2,1.0,6,1,1,12,6,3.5,7,7,65.1,71.0,3,0,1,0,1
98,4,4.0,1,0,0,12,6,3.5,4,3,72.0,59.0,3,1,0,1,0
99,3,3.0,1,0,0,10,6,3.5,4,5,65.1,71.0,3,1,0,1,0
100,4,4.0,1,0,0,6,6,3.5,7,1,65.1,0.0,1,0,1,0,1
101,1,1.0,6,0,2,10,6,3.5,4,7,100.0,49.8,3,0,1,0,1
102,4,2.0,1,0,2,12,6,3.5,7,1,100.0,71.0,4,0,1,0,1
103,4,3.5,1,1,1,12,6,3.5,7,7,65.1,49.8,2,1,0,1,0
104,4,4.0,1,0,2,12,6,3.5,7,3,72.0,68.0,3,0,1,0,1
105,3,1.0,1,0,0,12,6,3.5,7,1,65.1,100.0,4,1,0,1,0
106,4,1.0,1,0,1,12,6,3.5,7,5,65.1,100.0,4,0,1,0,1
107,3,2.0,1,0,2,13,6,3.5,7,7,100.0,0.0,3,1,0,1,0
108,4,2.0,1,0,0,10,6,3.5,7,3,100.0,72.0,4,1,0,1,0
109,3,3.0,1,0,1,3,6,3.5,4,1,65.1,36.0,3,0,1,0,1
110,2,1.0,6,1,2,10,6,3.5,7,5,65.1,100.0,4,0,1,0,1
111,4,3.0,1,0,0,14,6,3.5,7,7,100.0,100.0,5,1,0,1,0
112,4,1.0,1,1,1,12,6,3.5,4,1,65.1,100.0,4,0,1,0,1
113,3,3.0,1,1,2,12,6,3.5,7,7,65.1,50.0,3,1,0,1,0
114,4,4.0,1,0,0,1,6,3.5,4,1,65.1,78.0,3,1,0,1,0
115,4,4.0,1,0,1,12,6,3.5,7,3,72.0,66.0,3,0,1,0,1
116,2,3.5,3,1,1,11,6,3.5,7,1,65.1,49.8,3,0,1,0,1
117,4,3.0,1,1,0,12,6,3.5,7,5,65.1,66.0,2,0,1,0,1
118,4,4.0,1,0,2,12,6,3.5,7,1,72.0,57.0,3,1,0,1,0
119,2,1.0,6,1,1,12,6,3.5,7,7,65.1,71.0,3,0,1,0,1
120,4,4.0,1,0,0,12,6,3.5,4,3,72.0,59.0,3,1,0,1,0
121,3,3.0,1,0,0,10,6,3.5,4,5,65.1,71.0,3,1,0,1,0
122,4,4.0,1,0,0,6,6,3.5,7,1,65.1,0.0,1,0,1,0,1
123,1,1.0,6,0,2,10,6,3.5,4,7,100.0,49.8,3,0,1,0,1
124,3,1.0,1,0,2,10,6,3.5,4,7,100.0,49.8,3,0,1,0,1
125,3,1.0,1,0,2,10,6,3.5,4,7,100.0,49.8,3,0,1,0,1
126,3,1.0,1,0,2,10,6,3.5,4,7,100.0,49.8,3,0,1,0,1
127,4,4.0,1,0,0,9,6,3.5,7,1,65.1,89.0,3,1,0,1,0
128,2,2.0,6,0,2,6,6,3.5,7,3,65.1,100.0,3,1,0,1,0
129,4,3.0,1,0,0,14,6,3.5,7,1,65.1,100.0,4,1,0,1,0
130,4,4.0,1,1,1,9,6,3.5,7,5,65.1,89.0,3,1,0,1,0
131,3,3.0,1,0,0,6,6,3.5,7,5,65.1,51.0,2,1,0,1,0
132,4,4.0,1,1,2,12,6,3.5,4,1,100.0,65.0,3,0,1,0,1
133,3,3.0,1,1,1,6,6,3.5,7,3,100.0,71.0,5,1,0,1,0
134,4,4.0,1,0,0,5,6,3.5,3,1,72.0,26.0,2,0,1,0,1
135,3,3.0,1,0,0,7,6,3.5,7,7,65.1,58.0,2,0,1,0,1
136,3,2.0,1,0,0,6,6,3.5,7,1,100.0,100.0,3,0,1,0,1
137,3,3.5,1,1,1,9,6,3.5,7,7,65.1,49.8,3,1,0,1,0
138,3,3.0,1,0,0,12,6,3.5,7,3,100.0,81.0,3,0,1,0,1
139,4,4.0,1,1,1,12,6,3.5,7,3,65.1,74.0,3,0,1,0,1
140,4,4.0,1,0,0,9,6,3.5,7,1,100.0,35.0,3,1,0,1,0
141,3,3.0,1,0,0,12,6,3.5,4,5,65.1,47.0,2,1,0,1,0
142,4,4.0,1,1,0,12,6,3.5,7,3,65.1,60.0,3,0,1,0,1
143,3,3.0,1,1,0,12,6,3.5,7,5,100.0,55.0,3,0,1,0,1
144,4,4.0,1,1,1,12,6,3.5,7,1,100.0,68.0,3,1,0,1,0
145,3,1.0,1,0,2,10,6,3.5,4,7,100.0,49.8,3,0,1,0,1
146,4,2.0,1,0,2,12,6,3.5,7,1,100.0,71.0,4,0,1,0,1
147,4,3.5,1,1,1,12,6,3.5,7,7,65.1,49.8,2,1,0,1,0
148,4,4.0,1,0,2,12,6,3.5,7,3,72.0,68.0,3,0,1,0,1
149,3,1.0,1,0,0,12,6,3.5,7,1,65.1,100.0,3,1,0,1,0
150,4,1.0,1,0,1,12,6,3.5,7,5,65.1,100.0,3,0,1,0,1
151,3,2.0,1,0,2,13,6,3.5,7,7,100.0,0.0,2,1,0,1,0
152,4,2.0,1,0,0,10,6,3.5,7,3,100.0,72.0,3,1,0,1,0
153,3,3.0,1,0,1,3,6,3.5,4,1,65.1,36.0,1,0,1,0,1
154,2,1.0,6,1,2,10,6,3.5,7,5,65.1,100.0,3,0,1,0,1
155,4,3.0,1,0,0,14,6,3.5,7,7,100.0,100.0,5,1,0,1,0
156,4,1.0,1,1,1,12,6,3.5,4,1,65.1,100.0,3,0,1,0,1
157,3,3.0,1,1,2,12,6,3.5,7,7,65.1,50.0,2,1,0,1,0
158,4,4.0,1,0,0,1,6,3.5,4,1,65.1,78.0,3,1,0,1,0
159,4,4.0,1,0,1,12,6,3.5,7,3,72.0,66.0,3,0,1,0,1
160,2,3.5,3,1,1,11,6,3.5,7,1,65.1,49.8,3,0,1,0,1
161,4,3.0,1,1,0,12,6,3.5,7,5,65.1,66.0,3,0,1,0,1
162,4,4.0,1,0,2,12,6,3.5,7,1,72.0,57.0,3,1,0,1,0
163,2,1.0,6,1,1,12,6,3.5,7,7,65.1,71.0,3,0,1,0,1
164,4,4.0,1,0,0,12,6,3.5,4,3,72.0,59.0,3,1,0,1,0
165,3,3.0,1,0,0,10,6,3.5,4,5,65.1,71.0,3,1,0,1,0
166,4,4.0,1,0,0,6,6,3.5,7,1,65.1,0.0,1,0,1,0,1
167,3,1.0,1,0,2,10,6,3.5,4,7,100.0,49.8,3,0,1,0,1
168,4,4.0,1,0,0,9,6,3.5,7,1,65.1,89.0,3,1,0,1,0
169,2,2.0,6,0,2,6,6,3.5,7,3,65.1,100.0,3,1,0,1,0
170,4,3.0,1,0,0,14,6,3.5,7,1,65.1,100.0,4,1,0,1,0
171,4,4.0,1,1,1,9,6,3.5,7,5,65.1,89.0,3,1,0,1,0
172,3,3.0,1,0,0,6,6,3.5,7,5,65.1,51.0,2,1,0,1,0
173,4,4.0,1,1,2,12,6,3.5,4,1,100.0,65.0,3,0,1,0,1
174,3,3.0,1,1,1,6,6,3.5,7,3,100.0,71.0,5,1,0,1,0
175,4,4.0,1,0,0,5,6,3.5,3,1,72.0,26.0,2,0,1,0,1
176,3,3.0,1,0,0,7,6,3.5,7,7,65.1,58.0,3,0,1,0,1
177,3,2.0,1,0,0,6,6,3.5,7,1,100.0,100.0,3,0,1,0,1
178,3,3.5,1,1,1,9,6,3.5,7,7,65.1,49.8,2,1,0,1,0
179,3,3.0,1,0,0,12,6,3.5,7,3,100.0,81.0,3,0,1,0,1
180,4,4.0,1,1,1,12,6,3.5,7,3,65.1,74.0,3,0,1,0,1
181,4,4.0,1,0,0,9,6,3.5,7,1,100.0,35.0,3,1,0,1,0
182,3,3.0,1,0,0,12,6,3.5,4,5,65.1,47.0,2,1,0,1,0
183,4,4.0,1,1,0,12,6,3.5,7,3,65.1,60.0,3,0,1,0,1
184,3,3.0,1,1,0,12,6,3.5,7,5,100.0,55.0,4,0,1,0,1
185,4,4.0,1,1,1,12,6,3.5,7,1,100.0,68.0,4,1,0,1,0
186,1,3.5,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
187,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
188,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
189,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,3,1,0,1,0
190,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
191,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
192,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
193,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,3,1,0,1,0
194,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
195,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,3,1,0,1,0
196,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
197,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
198,2,1.0,1,0,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
199,2,1.0,1,1,0,12,6,3.5,7,5,65.1,49.8,3,0,1,0,1
200,2,1.0,1,0,2,12,6,3.5,7,1,65.1,49.8,1,0,1,0,1
201,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,3,1,0,1,0
202,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
203,2,1.0,1,1,1,12,6,3.5,7,1,65.1,49.8,2,1,0,1,0
204,2,1.0,1,0,1,12,6,5.0,7,1,65.1,49.8,3,0,1,0,1
205,2,1.0,1,1,1,12,6,3.5,4,1,65.1,49.8,1,0,1,0,1
206,2,1.0,1,0,1,12,6,5.0,7,1,65.1,49.8,3,0,1,0,1
207,2,1.0,1,0,1,12,6,5.0,4,1,65.1,49.8,1,0,1,0,1
208,2,1.0,1,0,1,12,6,5.0,4,1,65.1,49.8,3,0,1,0,1
209,2,1.0,1,1,1,12,6,3.5,4,1,65.1,49.8,1,0,1,0,1
210,2,1.0,1,0,1,12,6,5.0,4,1,65.1,49.8,3,0,1,0,1
211,2,1.0,1,0,1,12,6,5.0,4,1,65.1,49.8,3,0,1,0,1
212,2,1.0,1,0,1,12,6,5.0,4,1,65.1,49.8,1,0,1,0,1
213,2,1.0,1,0,0,12,6,2.0,7,1,65.1,49.8,1,1,0,1,0
214,3,1.0,1,0,0,9,9,1.0,7,3,100.0,49.8,3,1,0,1,0
215,4,4.0,1,0,1,9,8,2.0,7,3,57.0,49.8,2,0,1,0,1
216,4,2.0,1,0,1,12,5,2.0,7,3,65.1,49.8,2,0,1,0,1
217,4,4.0,1,0,2,4,6,3.0,4,7,72.0,49.8,2,0,1,0,1
218,3,3.0,1,0,2,12,3,2.0,4,1,72.0,49.8,3,1,0,1,0
219,4,4.0,1,0,2,9,5,3.0,7,7,100.0,49.8,3,0,1,0,1
220,4,4.0,1,0,2,12,10,3.0,4,7,72.0,49.8,2,0,1,0,1
221,4,3.0,1,0,2,12,6,3.0,7,3,0.0,49.8,3,0,1,0,1
222,4,3.0,1,0,2,9,7,3.0,7,3,72.0,49.8,2,0,1,0,1
223,4,4.0,1,0,2,9,11,2.0,4,5,53.0,49.8,2,0,1,0,1
224,4,4.0,1,0,1,9,9,3.0,7,3,100.0,49.8,3,0,1,0,1
225,4,4.0,1,0,2,9,8,3.0,7,5,72.0,49.8,2,0,1,0,1
226,2,2.0,3,0,1,4,2,2.0,4,3,65.1,49.8,3,0,1,0,1
227,1,1.0,6,0,1,12,1,3.0,7,7,65.1,49.8,2,1,0,1,0
228,3,2.0,1,0,1,12,5,2.0,4,7,65.1,49.8,2,1,0,1,0
229,4,4.0,1,0,1,12,7,2.0,4,3,65.1,49.8,2,0,1,0,1
230,4,4.0,1,0,1,12,9,2.0,4,7,100.0,49.8,3,0,1,0,1
231,3,1.0,1,0,0,12,4,2.0,4,7,65.1,49.8,2,1,0,1,0
232,4,4.0,1,0,1,12,9,2.0,3,3,0.0,49.8,3,0,1,0,1
233,4,4.0,1,0,1,12,10,2.0,7,7,54.0,49.8,3,0,1,0,1
234,4,3.0,1,0,2,12,10,3.0,1,3,65.1,49.8,1,0,1,0,1
235,4,3.0,1,1,0,4,7,1.0,2,5,65.1,49.8,3,0,1,0,1
236,4,4.0,1,0,2,12,8,3.0,4,3,43.0,49.8,1,0,1,0,1
237,4,4.0,1,0,2,12,11,3.0,4,7,36.0,49.8,1,0,1,0,1
238,4,1.0,1,0,1,12,6,2.0,7,7,65.1,49.8,2,0,1,0,1
239,4,4.0,1,0,1,4,5,2.0,4,1,0.0,49.8,3,0,1,0,1
240,4,3.0,1,0,2,4,4,3.0,4,5,65.1,49.8,1,0,1,0,1
241,4,4.0,1,0,1,12,12,3.0,7,1,48.0,49.8,3,0,1,0,1
242,4,4.0,1,0,1,4,6,3.0,7,7,72.0,49.8,2,0,1,0,1
243,3,3.0,1,0,1,12,5,2.0,4,1,0.0,49.8,3,1,0,1,0
244,3,3.0,1,0,1,12,5,2.0,4,1,0.0,49.8,3,1,0,1,0
245,4,3.0,1,0,2,9,7,3.0,4,3,72.0,49.8,3,0,1,0,1
246,4,2.0,1,0,2,12,5,3.0,7,5,72.0,49.8,2,0,1,0,1
247,4,2.0,1,0,2,12,5,3.0,4,5,72.0,49.8,2,0,1,0,1
248,4,3.0,1,0,1,12,7,3.0,7,3,65.1,49.8,3,0,1,0,1
249,4,3.0,1,0,1,12,7,3.0,4,3,65.1,49.8,2,0,1,0,1
250,3,2.0,1,0,1,4,6,2.0,4,7,65.1,49.8,3,1,0,1,0
251,4,4.0,1,0,1,12,9,3.0,7,5,100.0,49.8,3,0,1,0,1
252,4,4.0,1,0,1,12,9,2.0,4,5,100.0,49.8,3,0,1,0,1
253,4,4.0,1,0,1,9,8,2.0,4,3,53.0,49.8,3,0,1,0,1
254,4,4.0,1,0,1,12,9,2.0,7,3,0.0,49.8,3,0,1,0,1
255,4,4.0,1,0,1,12,11,3.0,4,7,54.0,49.8,2,0,1,0,1
256,4,4.0,1,0,1,12,5,3.0,7,5,72.0,49.8,2,0,1,0,1
257,4,3.0,1,1,0,4,8,1.0,4,5,65.1,49.8,3,0,1,0,1
258,4,4.0,1,0,1,4,9,2.0,4,3,32.0,49.8,1,0,1,0,1
259,3,3.0,1,0,0,2,20,5.0,8,1,77.0,49.8,2,1,0,1,0
260,3,3.0,1,0,0,2,20,5.0,8,1,77.0,49.8,3,1,0,1,0
261,3,3.0,1,0,0,2,20,5.0,8,1,77.0,49.8,2,1,0,1,0
262,4,3.0,1,0,1,12,10,2.0,7,1,72.0,49.8,3,0,1,0,1
263,3,2.0,6,0,2,12,4,3.0,7,7,65.1,49.8,1,0,1,0,1
264,3,3.0,1,0,0,12,7,3.0,7,3,100.0,49.8,3,1,0,1,0
265,4,4.0,1,0,1,4,5,3.0,2,5,65.1,49.8,3,0,1,0,1
266,4,2.0,1,1,1,9,6,2.0,7,3,0.0,49.8,3,0,1,0,1
267,2,1.0,6,1,1,12,3,2.0,4,3,65.1,49.8,2,1,0,1,0
268,4,4.0,1,0,1,4,5,3.0,4,5,65.1,49.8,3,0,1,0,1
269,4,4.0,1,0,2,9,9,2.0,4,7,0.0,49.8,3,0,1,0,1
270,4,4.0,1,0,1,12,11,1.0,7,7,72.0,49.8,2,0,1,0,1
271,4,3.0,1,1,1,12,7,2.0,7,3,72.0,49.8,2,0,1,0,1
272,3,1.0,6,1,0,9,4,1.0,7,7,72.0,49.8,2,0,1,0,1
273,4,4.0,1,0,2,16,6,2.0,4,3,65.1,49.8,3,0,1,0,1
274,4,4.0,1,0,1,15,5,2.0,7,7,72.0,49.8,3,0,1,0,1
275,4,4.0,1,1,1,12,12,1.0,7,7,0.0,49.8,3,0,1,0,1
276,3,2.0,1,0,2,12,5,2.0,4,1,65.1,49.8,3,0,1,0,1
277,4,1.0,1,1,1,12,5,2.0,4,7,65.1,49.8,2,0,1,0,1
278,4,4.0,1,0,2,9,6,2.0,7,3,72.0,49.8,3,0,1,0,1
279,4,4.0,1,0,1,4,5,2.0,7,5,65.1,49.8,2,0,1,0,1
280,4,4.0,1,1,1,12,12,2.0,3,7,0.0,49.8,3,0,1,0,1
281,3,3.5,1,0,2,5,3,2.0,4,1,65.1,49.8,1,1,0,1,0
282,4,4.0,1,1,1,16,11,1.0,4,7,65.1,49.8,3,0,1,0,1
283,4,4.0,1,1,1,9,10,1.0,3,5,65.1,49.8,2,0,1,0,1
284,4,4.0,1,0,1,9,10,2.0,7,1,72.0,49.8,3,0,1,0,1
285,4,3.0,1,0,1,12,7,3.0,4,3,0.0,49.8,3,0,1,0,1
286,4,1.0,1,0,1,12,6,2.0,7,3,0.0,49.8,3,0,1,0,1
287,3,3.0,1,0,1,9,7,3.0,7,3,100.0,49.8,3,1,0,1,0
288,4,4.0,1,0,1,9,9,2.0,7,7,0.0,49.8,3,0,1,0,1
289,4,4.0,1,1,0,12,11,2.0,7,7,72.0,49.8,2,0,1,0,1
0,11,6.0,5,0,0,10,1,1.0,0,6,61.0,56.0,2,1,0,1,0
1,12,1.0,2,1,1,10,3,3.0,2,4,36.0,73.0,2,0,1,0,1
2,10,5.0,5,0,2,6,25,5.0,8,2,83.0,3.0,2,1,0,1,0
3,1,6.0,5,1,0,9,15,3.0,6,4,56.0,96.0,4,1,0,1,0
4,15,4.0,2,1,1,6,17,3.0,3,6,62.0,43.0,2,0,1,0,1
5,25,6.0,4,0,0,6,13,2.0,3,2,86.0,72.0,4,1,0,1,0
6,30,4.0,2,1,2,12,16,4.0,5,2,91.0,94.0,5,0,1,0,1
7,11,6.0,4,0,0,3,11,1.0,2,0,66.0,20.0,3,1,0,1,0
8,16,4.0,5,0,2,4,28,5.0,4,4,38.0,98.0,3,1,0,1,0
9,12,2.0,4,1,0,4,22,3.0,4,0,86.0,18.0,2,1,0,1,0
10,22,3.0,0,0,2,8,7,4.0,8,0,32.0,69.0,3,0,1,0,1
11,28,4.0,5,0,1,12,14,4.0,1,2,34.0,79.0,2,1,0,1,0
12,3,1.0,4,1,0,6,27,6.0,7,0,84.0,19.0,2,0,1,0,1
13,9,1.0,0,0,0,6,4,3.0,3,6,37.0,47.0,3,0,1,0,1
14,24,4.0,0,0,2,0,11,5.0,2,2,96.0,58.0,4,0,1,0,1
15,10,2.0,5,0,0,10,15,4.0,2,4,63.0,87.0,3,1,0,1,0
16,17,4.0,4,1,0,6,1,2.0,7,4,83.0,83.0,5,1,0,1,0
17,9,0.0,0,0,2,6,4,5.0,7,2,38.0,2.0,0,0,1,0,1
18,19,5.0,0,1,2,3,24,5.0,6,6,99.0,64.0,3,1,0,1,0
19,15,1.0,2,0,1,4,23,1.0,7,2,75.0,34.0,2,0,1,0,1
20,16,7.0,5,1,1,0,1,5.0,5,4,52.0,81.0,3,0,1,0,1
