,PreferedMajor,PreferedSchool,JobType,PreferedStartQuarter,ActualStartQuarter,PreferedNumberofCore,ActualNumberofCore,PreferedNumberQuarters,ActualNumberQuarters,EnrollmentType,mathSequenceBreak,englishSequenceBreak,Rating,SummerPref_no,SummerPref_yes,ActualSummerPref_no,ActualSummerPref_yes
92,0,3,0,0,0,3.5,4.0,6,4,0,78.0,65.1,2,1,0,1,0
93,10,4,1,1,0,3.5,4.0,6,4,0,66.0,72.0,2,0,1,0,1
94,9,4,1,0,1,3.5,3.5,6,2,1,49.8,65.1,1,0,1,0,1
95,10,4,0,2,0,3.5,3.0,6,4,1,66.0,65.1,2,0,1,0,1
96,10,4,2,0,0,3.5,4.0,6,4,0,57.0,72.0,2,1,0,1,0
97,10,4,1,3,2,3.5,1.0,6,2,1,71.0,65.1,2,0,1,0,1
98,10,3,0,1,0,3.5,4.0,6,4,0,59.0,72.0,2,1,0,1,0
99,8,3,0,2,0,3.5,3.0,6,3,0,71.0,65.1,2,1,0,1,0
100,5,4,0,0,0,3.5,4.0,6,4,0,0.0,65.1,0,0,1,0,1
101,8,3,2,3,2,3.5,1.0,6,1,0,49.8,100.0,2,0,1,0,1
102,10,4,2,0,0,3.5,2.0,6,4,0,71.0,100.0,2,0,1,0,1
103,10,4,1,3,0,3.5,3.5,6,4,1,49.8,65.1,1,1,0,1,0
104,10,4,2,1,0,3.5,4.0,6,4,0,68.0,72.0,2,0,1,0,1
105,10,4,0,0,0,3.5,1.0,6,3,0,100.0,65.1,3,1,0,1,0
106,10,4,1,2,0,3.5,1.0,6,4,0,100.0,65.1,3,0,1,0,1
107,11,4,2,3,0,3.5,2.0,6,3,0,0.0,100.0,2,1,0,1,0
108,8,4,0,1,0,3.5,2.0,6,4,0,72.0,100.0,3,1,0,1,0
109,2,3,1,0,0,3.5,3.0,6,3,0,36.0,65.1,0,0,1,0,1
110,8,4,2,2,2,3.5,1.0,6,2,1,100.0,65.1,2,0,1,0,1
111,12,4,0,3,0,3.5,3.0,6,4,0,100.0,100.0,4,1,0,1,0
112,10,3,1,0,0,3.5,1.0,6,4,1,100.0,65.1,3,0,1,0,1
113,10,4,2,3,0,3.5,3.0,6,3,1,50.0,65.1,1,1,0,1,0
114,0,3,0,0,0,3.5,4.0,6,4,0,78.0,65.1,2,1,0,1,0
115,10,4,1,1,0,3.5,4.0,6,4,0,66.0,72.0,2,0,1,0,1
116,9,4,1,0,1,3.5,3.5,6,2,1,49.8,65.1,1,0,1,0,1
117,10,4,0,2,0,3.5,3.0,6,4,1,66.0,65.1,2,0,1,0,1
118,10,4,2,0,0,3.5,4.0,6,4,0,57.0,72.0,2,1,0,1,0
119,10,4,1,3,2,3.5,1.0,6,2,1,71.0,65.1,2,0,1,0,1
120,10,3,0,1,0,3.5,4.0,6,4,0,59.0,72.0,2,1,0,1,0
121,8,3,0,2,0,3.5,3.0,6,3,0,71.0,65.1,2,1,0,1,0
122,5,4,0,0,0,3.5,4.0,6,4,0,0.0,65.1,0,0,1,0,1
123,8,3,2,3,2,3.5,1.0,6,1,0,49.8,100.0,2,0,1,0,1
124,8,3,2,3,0,3.5,1.0,6,3,0,49.8,100.0,2,0,1,0,1
125,8,3,2,3,0,3.5,1.0,6,3,0,49.8,100.0,2,0,1,0,1
126,8,3,2,3,0,3.5,1.0,6,3,0,49.8,100.0,2,0,1,0,1
127,7,4,0,0,0,3.5,4.0,6,4,0,89.0,65.1,2,1,0,1,0
128,5,4,2,1,2,3.5,2.0,6,2,0,100.0,65.1,2,1,0,1,0
129,12,4,0,0,0,3.5,3.0,6,4,0,100.0,65.1,3,1,0,1,0
130,7,4,1,2,0,3.5,4.0,6,4,1,89.0,65.1,2,1,0,1,0
131,5,4,0,2,0,3.5,3.0,6,3,0,51.0,65.1,1,1,0,1,0
132,10,3,2,0,0,3.5,4.0,6,4,1,65.0,100.0,3,0,1,0,1
133,5,4,1,1,0,3.5,3.0,6,3,1,71.0,100.0,2,1,0,1,0
134,4,2,0,0,0,3.5,4.0,6,4,0,26.0,72.0,1,0,1,0,1
135,6,4,0,3,0,3.5,3.0,6,3,0,58.0,65.1,2,0,1,0,1
136,5,4,0,0,0,3.5,2.0,6,3,0,100.0,100.0,4,0,1,0,1
137,7,4,1,3,0,3.5,3.5,6,3,1,49.8,65.1,1,1,0,1,0
138,10,4,0,1,0,3.5,3.0,6,3,0,81.0,100.0,2,0,1,0,1
139,10,4,1,1,0,3.5,4.0,6,4,1,74.0,65.1,2,0,1,0,1
140,7,4,0,0,0,3.5,4.0,6,4,0,35.0,100.0,2,1,0,1,0
141,10,3,0,2,0,3.5,3.0,6,3,0,47.0,65.1,1,1,0,1,0
142,10,4,0,1,0,3.5,4.0,6,4,1,60.0,65.1,1,0,1,0,1
143,10,4,0,2,0,3.5,3.0,6,3,1,55.0,100.0,3,0,1,0,1
144,10,4,1,0,0,3.5,4.0,6,4,1,68.0,100.0,2,1,0,1,0
145,8,3,2,3,0,3.5,1.0,6,3,0,49.8,100.0,2,0,1,0,1
146,10,4,2,0,0,3.5,2.0,6,4,0,71.0,100.0,3,0,1,0,1
147,10,4,1,3,0,3.5,3.5,6,4,1,49.8,65.1,1,1,0,1,0
148,10,4,2,1,0,3.5,4.0,6,4,0,68.0,72.0,2,0,1,0,1
149,10,4,0,0,0,3.5,1.0,6,3,0,100.0,65.1,3,1,0,1,0
150,10,4,1,2,0,3.5,1.0,6,4,0,100.0,65.1,3,0,1,0,1
151,11,4,2,3,0,3.5,2.0,6,3,0,0.0,100.0,1,1,0,1,0
152,8,4,0,1,0,3.5,2.0,6,4,0,72.0,100.0,3,1,0,1,0
153,2,3,1,0,0,3.5,3.0,6,3,0,36.0,65.1,0,0,1,0,1
154,8,4,2,2,2,3.5,1.0,6,2,1,100.0,65.1,2,0,1,0,1
155,12,4,0,3,0,3.5,3.0,6,4,0,100.0,100.0,2,1,0,1,0
156,10,3,1,0,0,3.5,1.0,6,4,1,100.0,65.1,3,0,1,0,1
157,10,4,2,3,0,3.5,3.0,6,3,1,50.0,65.1,1,1,0,1,0
158,0,3,0,0,0,3.5,4.0,6,4,0,78.0,65.1,2,1,0,1,0
159,10,4,1,1,0,3.5,4.0,6,4,0,66.0,72.0,2,0,1,0,1
160,9,4,1,0,1,3.5,3.5,6,2,1,49.8,65.1,1,0,1,0,1
161,10,4,0,2,0,3.5,3.0,6,4,1,66.0,65.1,1,0,1,0,1
162,10,4,2,0,0,3.5,4.0,6,4,0,57.0,72.0,2,1,0,1,0
163,10,4,1,3,2,3.5,1.0,6,2,1,71.0,65.1,2,0,1,0,1
164,10,3,0,1,0,3.5,4.0,6,4,0,59.0,72.0,2,1,0,1,0
165,8,3,0,2,0,3.5,3.0,6,3,0,71.0,65.1,2,1,0,1,0
166,5,4,0,0,0,3.5,4.0,6,4,0,0.0,65.1,0,0,1,0,1
167,8,3,2,3,0,3.5,1.0,6,3,0,49.8,100.0,2,0,1,0,1
168,7,4,0,0,0,3.5,4.0,6,4,0,89.0,65.1,2,1,0,1,0
169,5,4,2,1,2,3.5,2.0,6,2,0,100.0,65.1,2,1,0,1,0
170,12,4,0,0,0,3.5,3.0,6,4,0,100.0,65.1,3,1,0,1,0
171,7,4,1,2,0,3.5,4.0,6,4,1,89.0,65.1,2,1,0,1,0
172,5,4,0,2,0,3.5,3.0,6,3,0,51.0,65.1,1,1,0,1,0
173,10,3,2,0,0,3.5,4.0,6,4,1,65.0,100.0,3,0,1,0,1
174,5,4,1,1,0,3.5,3.0,6,3,1,71.0,100.0,4,1,0,1,0
175,4,2,0,0,0,3.5,4.0,6,4,0,26.0,72.0,1,0,1,0,1
176,6,4,0,3,0,3.5,3.0,6,3,0,58.0,65.1,1,0,1,0,1
177,5,4,0,0,0,3.5,2.0,6,3,0,100.0,100.0,4,0,1,0,1
178,7,4,1,3,0,3.5,3.5,6,3,1,49.8,65.1,1,1,0,1,0
179,10,4,0,1,0,3.5,3.0,6,3,0,81.0,100.0,3,0,1,0,1
180,10,4,1,1,0,3.5,4.0,6,4,1,74.0,65.1,2,0,1,0,1
181,7,4,0,0,0,3.5,4.0,6,4,0,35.0,100.0,2,1,0,1,0
182,10,3,0,2,0,3.5,3.0,6,3,0,47.0,65.1,1,1,0,1,0
183,10,4,0,1,0,3.5,4.0,6,4,1,60.0,65.1,1,0,1,0,1
184,10,4,0,2,0,3.5,3.0,6,3,1,55.0,100.0,3,0,1,0,1
185,10,4,1,0,0,3.5,4.0,6,4,1,68.0,100.0,3,1,0,1,0
186,10,4,1,0,0,3.5,3.5,6,1,1,49.8,65.1,1,1,0,1,0
187,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,2,1,0,1,0
188,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
189,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
190,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
191,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
192,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
193,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
194,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
195,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
196,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
197,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,2,1,0,1,0
198,10,4,1,0,0,3.5,1.0,6,2,0,49.8,65.1,1,1,0,1,0
199,10,4,0,2,0,3.5,1.0,6,2,1,49.8,65.1,0,0,1,0,1
200,10,4,2,0,0,3.5,1.0,6,2,0,49.8,65.1,0,0,1,0,1
201,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
202,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
203,10,4,1,0,0,3.5,1.0,6,2,1,49.8,65.1,1,1,0,1,0
204,10,4,1,0,0,5.0,1.0,6,2,0,49.8,65.1,0,0,1,0,1
205,10,3,1,0,0,3.5,1.0,6,2,1,49.8,65.1,0,0,1,0,1
206,10,4,1,0,0,5.0,1.0,6,2,0,49.8,65.1,0,0,1,0,1
207,10,3,1,0,0,5.0,1.0,6,2,0,49.8,65.1,2,0,1,0,1
208,10,3,1,0,0,5.0,1.0,6,2,0,49.8,65.1,0,0,1,0,1
209,10,3,1,0,0,3.5,1.0,6,2,1,49.8,65.1,2,0,1,0,1
210,10,3,1,0,0,5.0,1.0,6,2,0,49.8,65.1,2,0,1,0,1
211,10,3,1,0,0,5.0,1.0,6,2,0,49.8,65.1,0,0,1,0,1
212,10,3,1,0,0,5.0,1.0,6,2,0,49.8,65.1,0,0,1,0,1
213,10,4,0,0,0,2.0,1.0,6,2,0,49.8,65.1,2,1,0,1,0
214,7,4,0,1,0,1.0,1.0,9,3,0,49.8,100.0,2,1,0,1,0
215,7,4,1,1,0,2.0,4.0,8,4,0,49.8,57.0,1,0,1,0,1
216,10,4,1,1,0,2.0,2.0,5,4,0,49.8,65.1,1,0,1,0,1
217,3,3,2,3,0,3.0,4.0,6,4,0,49.8,72.0,1,0,1,0,1
218,10,3,2,0,0,2.0,3.0,3,3,0,49.8,72.0,1,1,0,1,0
219,7,4,2,3,0,3.0,4.0,5,4,0,49.8,100.0,2,0,1,0,1
220,10,3,2,3,0,3.0,4.0,10,4,0,49.8,72.0,2,0,1,0,1
221,10,4,2,1,0,3.0,3.0,6,4,0,49.8,0.0,2,0,1,0,1
222,7,4,2,1,0,3.0,3.0,7,4,0,49.8,72.0,1,0,1,0,1
223,7,3,2,2,0,2.0,4.0,11,4,0,49.8,53.0,1,0,1,0,1
224,7,4,1,1,0,3.0,4.0,9,4,0,49.8,100.0,2,0,1,0,1
225,7,4,2,2,0,3.0,4.0,8,4,0,49.8,72.0,1,0,1,0,1
226,3,3,1,1,1,2.0,2.0,2,2,0,49.8,65.1,1,0,1,0,1
227,10,4,1,3,2,3.0,1.0,1,1,0,49.8,65.1,2,1,0,1,0
228,10,3,1,3,0,2.0,2.0,5,3,0,49.8,65.1,2,1,0,1,0
229,10,3,1,1,0,2.0,4.0,7,4,0,49.8,65.1,2,0,1,0,1
230,10,3,1,3,0,2.0,4.0,9,4,0,49.8,100.0,2,0,1,0,1
231,10,3,0,3,0,2.0,1.0,4,3,0,49.8,65.1,1,1,0,1,0
232,10,2,1,1,0,2.0,4.0,9,4,0,49.8,0.0,2,0,1,0,1
233,10,4,1,3,0,2.0,4.0,10,4,0,49.8,54.0,1,0,1,0,1
234,10,0,2,1,0,3.0,3.0,10,4,0,49.8,65.1,0,0,1,0,1
235,3,1,0,2,0,1.0,3.0,7,4,1,49.8,65.1,1,0,1,0,1
236,10,3,2,1,0,3.0,4.0,8,4,0,49.8,43.0,0,0,1,0,1
237,10,3,2,3,0,3.0,4.0,11,4,0,49.8,36.0,2,0,1,0,1
238,10,4,1,3,0,2.0,1.0,6,4,0,49.8,65.1,1,0,1,0,1
239,3,3,1,0,0,2.0,4.0,5,4,0,49.8,0.0,2,0,1,0,1
240,3,3,2,2,0,3.0,3.0,4,4,0,49.8,65.1,0,0,1,0,1
241,10,4,1,0,0,3.0,4.0,12,4,0,49.8,48.0,2,0,1,0,1
242,3,4,1,3,0,3.0,4.0,6,4,0,49.8,72.0,1,0,1,0,1
243,10,3,1,0,0,2.0,3.0,5,3,0,49.8,0.0,2,1,0,1,0
244,10,3,1,0,0,2.0,3.0,5,3,0,49.8,0.0,2,1,0,1,0
245,7,3,2,1,0,3.0,3.0,7,4,0,49.8,72.0,1,0,1,0,1
246,10,4,2,2,0,3.0,2.0,5,4,0,49.8,72.0,1,0,1,0,1
247,10,3,2,2,0,3.0,2.0,5,4,0,49.8,72.0,1,0,1,0,1
248,10,4,1,1,0,3.0,3.0,7,4,0,49.8,65.1,1,0,1,0,1
249,10,3,1,1,0,3.0,3.0,7,4,0,49.8,65.1,1,0,1,0,1
250,3,3,1,3,0,2.0,2.0,6,3,0,49.8,65.1,2,1,0,1,0
251,10,4,1,2,0,3.0,4.0,9,4,0,49.8,100.0,2,0,1,0,1
252,10,3,1,2,0,2.0,4.0,9,4,0,49.8,100.0,2,0,1,0,1
253,7,3,1,1,0,2.0,4.0,8,4,0,49.8,53.0,1,0,1,0,1
254,10,4,1,1,0,2.0,4.0,9,4,0,49.8,0.0,2,0,1,0,1
255,10,3,1,3,0,3.0,4.0,11,4,0,49.8,54.0,1,0,1,0,1
256,10,4,1,2,0,3.0,4.0,5,4,0,49.8,72.0,1,0,1,0,1
257,3,3,0,2,0,1.0,3.0,8,4,1,49.8,65.1,1,0,1,0,1
258,3,3,1,1,0,2.0,4.0,9,4,0,49.8,32.0,0,0,1,0,1
259,1,5,0,0,0,5.0,3.0,20,3,0,49.8,77.0,1,1,0,1,0
260,1,5,0,0,0,5.0,3.0,20,3,0,49.8,77.0,1,1,0,1,0
261,1,5,0,0,0,5.0,3.0,20,3,0,49.8,77.0,1,1,0,1,0
262,10,4,1,0,0,2.0,3.0,10,4,0,49.8,72.0,1,0,1,0,1
263,10,4,2,3,2,3.0,2.0,4,3,0,49.8,65.1,0,0,1,0,1
264,10,4,0,1,0,3.0,3.0,7,3,0,49.8,100.0,2,1,0,1,0
265,3,1,1,2,0,3.0,4.0,5,4,0,49.8,65.1,2,0,1,0,1
266,7,4,1,1,0,2.0,2.0,6,4,1,49.8,0.0,2,0,1,0,1
267,10,3,1,1,2,2.0,1.0,3,2,1,49.8,65.1,1,1,0,1,0
268,3,3,1,2,0,3.0,4.0,5,4,0,49.8,65.1,2,0,1,0,1
269,7,3,2,3,0,2.0,4.0,9,4,0,49.8,0.0,2,0,1,0,1
270,10,4,1,3,0,1.0,4.0,11,4,0,49.8,72.0,2,0,1,0,1
271,10,4,1,1,0,2.0,3.0,7,4,1,49.8,72.0,1,0,1,0,1
272,7,4,0,3,2,1.0,1.0,4,3,1,49.8,72.0,1,0,1,0,1
273,14,3,2,1,0,2.0,4.0,6,4,0,49.8,65.1,1,0,1,0,1
274,13,4,1,3,0,2.0,4.0,5,4,0,49.8,72.0,1,0,1,0,1
275,10,4,1,3,0,1.0,4.0,12,4,1,49.8,0.0,2,0,1,0,1
276,10,3,2,0,0,2.0,2.0,5,3,0,49.8,65.1,0,0,1,0,1
277,10,3,1,3,0,2.0,1.0,5,4,1,49.8,65.1,1,0,1,0,1
278,7,4,2,1,0,2.0,4.0,6,4,0,49.8,72.0,1,0,1,0,1
279,3,4,1,2,0,2.0,4.0,5,4,0,49.8,65.1,1,0,1,0,1
280,10,2,1,3,0,2.0,4.0,12,4,1,49.8,0.0,2,0,1,0,1
281,4,3,2,0,0,2.0,3.5,3,3,0,49.8,65.1,2,1,0,1,0
282,14,3,1,3,0,1.0,4.0,11,4,1,49.8,65.1,1,0,1,0,1
283,7,2,1,2,0,1.0,4.0,10,4,1,49.8,65.1,1,0,1,0,1
284,7,4,1,0,0,2.0,4.0,10,4,0,49.8,72.0,1,0,1,0,1
285,10,3,1,1,0,3.0,3.0,7,4,0,49.8,0.0,2,0,1,0,1
286,10,4,1,1,0,2.0,1.0,6,4,0,49.8,0.0,2,0,1,0,1
287,7,4,1,1,0,3.0,3.0,7,3,0,49.8,100.0,2,1,0,1,0
288,7,4,1,3,0,2.0,4.0,9,4,0,49.8,0.0,2,0,1,0,1
289,10,4,0,3,0,2.0,4.0,11,4,1,49.8,72.0,1,0,1,0,1
